Time,Speed,RPM,Throttle Position
158141,15.5,1538,0.784313725
158293,14.88,1360,0.784313725
158443,14.88,1198,0.784313725
158594,14.88,1033,0.784313725
158745,14.88,897,0.784313725
158896,14.88,938,0.784313725
159046,14.88,987,0.784313725
159198,14.26,1011,0.784313725
159349,14.26,1016,0.784313725
159500,14.26,1018,0.784313725
159651,14.26,1024,0.784313725
159802,14.26,1018,0.784313725
159953,13.64,1017,0.784313725
160104,13.64,998,0.784313725
160256,13.02,971,0.784313725
160407,13.02,945,0.784313725
160557,12.4,928,0.784313725
160710,11.78,900,0.784313725
160862,11.78,880,0.784313725
161013,11.16,874,0.784313725
161165,11.16,864,0.784313725
161315,10.54,848,0.784313725
161467,10.54,835,0.784313725
161619,9.92,832,0.784313725
161769,9.92,821,0.784313725
161920,9.3,811,0.784313725
162072,9.3,802,0.784313725
162224,9.3,797,0.784313725
162375,8.68,785,0.784313725
162527,8.06,776,0.784313725
162678,7.44,776,0.784313725
162832,7.44,775,0.784313725
162984,6.82,769,0.784313725
163135,6.2,759,0.784313725
163285,5.58,749,0.784313725
163437,4.96,745,0.784313725
163588,4.34,726,0.784313725
163739,3.72,712,0.784313725
163891,2.48,698,0.784313725
164043,1.86,709,0.784313725
164193,1.24,716,0.784313725
164346,1.24,717,0.784313725
164497,0.62,718,0.784313725
164648,0.62,712,0.784313725
164800,0.62,720,0.784313725
164951,0,730,0.784313725
165809,0,725,0.784313725
165859,0.62,980,0.784313725
166011,1.86,861,0.784313725
166163,2.48,735,0.784313725
166313,3.1,631,0.784313725
166465,3.72,844,0.784313725
166617,4.34,956,0.784313725
166768,4.34,868,0.784313725
166920,4.96,1043,1.176470588
167072,5.58,1194,1.176470588
167223,5.58,1163,1.176470588
167374,6.2,1259,1.176470588
167526,6.82,1401,1.176470588
167676,6.82,1454,1.176470588
167828,7.44,1529,1.176470588
167979,8.06,1666,1.176470588
168130,8.06,1711,0.784313725
168282,8.68,1792,0.784313725
168434,8.68,1849,0.784313725
168585,8.68,1753,0.784313725
168737,8.68,1559,0.784313725
168889,8.68,1340,1.176470588
169040,8.68,996,1.176470588
169193,8.68,1095,1.176470588
169345,8.68,1077,0.784313725
169496,9.3,1088,0.784313725
169646,9.3,1115,1.176470588
169798,9.3,1118,1.176470588
169950,9.3,1182,1.176470588
170101,9.92,1160,1.176470588
170251,9.92,1263,1.176470588
170403,10.54,1258,1.176470588
170555,11.16,1326,1.176470588
170706,11.16,1364,1.176470588
170857,11.78,1441,1.176470588
171009,12.4,1491,1.568627451
171161,13.02,1590,1.568627451
171313,14.26,1624,1.568627451
171464,14.88,1720,1.568627451
171615,15.5,1787,1.568627451
171768,16.12,1876,1.568627451
171919,16.74,1936,1.568627451
172070,17.98,2034,1.568627451
172221,18.6,2105,1.568627451
172372,19.22,2195,1.568627451
172524,19.84,2269,1.568627451
172676,21.08,2401,1.568627451
